Training_portfolio,Annual_Premium_mean,Annual_Premium_std,Claim_Count_mean,Claim_Count_std,Driver_Max_Age_mean,Driver_Max_Age_std,Driver_Min_Age_mean,Driver_Min_Age_std,Driver_Total_Adult_Ages_50_64_mean,Driver_Total_Adult_Ages_50_64_std,Driver_Total_College_Ages_20_23_mean,Driver_Total_College_Ages_20_23_std,Driver_Total_Low_Middle_Adult_Ages_30_39_mean,Driver_Total_Low_Middle_Adult_Ages_30_39_std,Driver_Total_Married_mean,Driver_Total_Married_std,Driver_Total_Middle_Adult_Ages_40_49_mean,Driver_Total_Middle_Adult_Ages_40_49_std,Driver_Total_Senior_Ages_65_69_mean,Driver_Total_Senior_Ages_65_69_std,Driver_Total_Teenager_Age_15_19_mean,Driver_Total_Teenager_Age_15_19_std,Driver_Total_Young_Adult_Ages_24_29_mean,Driver_Total_Young_Adult_Ages_24_29_std,EEA_Policy_Tenure_mean,EEA_Policy_Tenure_std,Loss_Amount_mean,Policy_InstallmentTerm_Mean,Policy_InstallmentTerm_std,VATD_Active_mean,VATD_Active_std,VATD_Alarm_mean,VATD_Alarm_std,VATD_NA_mean,VATD_NA_std,VATD_Passive_mean,VATD_Passive_std,Vehicle_Age_In_Years_mean,Vehicle_Age_In_Years_std,Vehicle_Collision_Coverage_Deductible_mean,Vehicle_Collision_Coverage_Deductible_std,Vehicle_Days_Per_Week_Driven_mean,Vehicle_Days_Per_Week_Driven_std,Vehicle_Driver_Points_mean,Vehicle_Driver_Points_std,Vehicle_Make_Year_mean,Vehicle_Make_Year_std,Vehicle_Med_Pay_Limit_mean,Vehicle_Med_Pay_Limit_std,Vehicle_Miles_To_Work_mean,Vehicle_Miles_To_Work_std,Vehicle_Number_Of_Drivers_Assigned_mean,Vehicle_Number_Of_Drivers_Assigned_std,Vehicle_Physical_Damage_Limit_mean,Vehicle_Physical_Damage_Limit_std,Vehicle_Symbol_mean,Vehicle_Symbol_std,Vehicle_Territory_mean,Vehicle_Territory_std,ln_LR
15,389.256,238.06567723028178,0.549,0.5591521336077103,46.205666666666666,15.790353292387225,45.079,16.124073822272887,0.2763333333333333,0.4792475024281847,0.05483333333333333,0.23629630737635207,0.22383333333333333,0.44992485774682384,0.6646666666666666,0.619097813412918,0.2745,0.47559168191629975,0.057166666666666664,0.24202286682646587,0.0495,0.2176946986729495,0.09066666666666667,0.30352634744967744,5.535149999999955,6.570949122683558,2847.521,6.372,1.447053901610298,0.0295,0.16921738214617135,0.077,0.26661366645614815,0.524,0.49946529168328213,0.3695,0.4827096277930733,6.659666666666666,2.6883782816386934,343.8745,263.73146910772124,4.998,0.09485515053628586,0.15266666666666667,0.4243303331063437,1998.1006666666667,6.474090813712694,2935.7871666666665,6425.083725136507,3.5135,7.714255378151404,28.002166666666668,43.74869316140848,47449.95766666667,34586.73962518299,11.614666666666666,3.9139585333507685,30.942,4.235637626656693,1.9899668453308994
16,390.261,238.2787121624133,0.554,0.5586913483046417,46.16683333333334,15.768294343078772,45.038833333333336,16.10415730857487,0.2768333333333333,0.4794805757198562,0.055,0.23661008161484448,0.22333333333333333,0.4496175206491454,0.6641666666666667,0.6194997462023556,0.275,0.47547801900585634,0.057166666666666664,0.24202286682646587,0.049833333333333334,0.21838327339313746,0.09083333333333334,0.3037510214019302,5.542683333333287,6.58597517288724,2876.709,6.371,1.4452360076654254,0.029333333333333333,0.16875317822611755,0.07683333333333334,0.26634901136453404,0.5236666666666666,0.49948119998028406,0.37016666666666664,0.48288939649823603,6.650666666666667,2.6911905618138343,344.95116666666667,263.66752083301924,4.998,0.09485515053628586,0.15283333333333332,0.42642577945029786,1998.1216666666667,6.468732846521174,2936.1203333333333,6431.414420620296,3.5231666666666666,7.713043831484976,28.002,43.74879414145535,47479.95816666666,34567.967782320025,11.627,3.914259134339751,30.945666666666668,4.231236830574419,1.997586465349817
17,390.5095,237.76275240420168,0.559,0.5581853889954934,46.133,15.773124069351322,45.00933333333333,16.103140420762394,0.2753333333333333,0.47843115661240515,0.05533333333333333,0.23723603375437172,0.22483333333333333,0.4509070766290851,0.663,0.6198077876371187,0.2753333333333333,0.4759859759808436,0.057,0.2417176132751342,0.0495,0.2176946986729488,0.0905,0.3033014154677902,5.542799999999955,6.588194153967272,2902.8373333333334,6.367,1.4379344940811782,0.029666666666666668,0.16968015238847076,0.077,0.26661366645614815,0.5225,0.49953512311268344,0.37083333333333335,0.4830681781070579,6.646833333333333,2.6927028082624824,345.744,263.8340113182083,4.998,0.09485515053628586,0.15316666666666667,0.4270874689958155,1998.1343333333334,6.458630417771799,2933.454,6431.179870104523,3.5403333333333333,7.719194963468178,27.9855,43.740677073960526,47473.291666666664,34557.47311650554,11.630833333333333,3.909786487429363,30.938333333333333,4.230072435276934,2.0059916316981226
18,391.34366666666665,237.60554909214937,0.564,0.5576341327169536,46.1065,15.757650258639798,44.977833333333336,16.088126468748094,0.27516666666666667,0.4783528430590111,0.0555,0.2375482158618352,0.22516666666666665,0.45111035861324594,0.6635,0.6199450018355483,0.2758333333333333,0.47622169564829614,0.057166666666666664,0.24202286682646587,0.04933333333333333,0.21734940153881105,0.09083333333333334,0.3042993130141203,5.535533333333288,6.574912087654325,2923.3551666666667,6.367,1.4379344940811782,0.029833333333333333,0.17014150065145642,0.07716666666666666,0.26687795499572337,0.5206666666666667,0.4996143425724548,0.37233333333333335,0.4834668333181798,6.6355,2.6955242022880386,346.9545,263.56738238495626,4.998,0.09485515053628586,0.15366666666666667,0.4278828533351698,1998.165,6.442620550670911,2937.9546666666665,6453.360641237678,3.5496666666666665,7.722141658947997,27.969166666666666,43.73245138174,47538.2915,34675.68180229942,11.639666666666667,3.9102482737650504,30.9435,4.222749462001825,2.010901148490568
19,391.87516666666664,238.35884867169418,0.5695,0.557872405008567,46.104166666666664,15.776230988935675,44.97816666666667,16.102139706347835,0.2745,0.47769004730774184,0.05516666666666667,0.236923323037338,0.22566666666666665,0.45178376868936476,0.6625,0.6202079164628957,0.27566666666666667,0.4764931582340655,0.057,0.24171761327513455,0.049666666666666665,0.21803932156039688,0.091,0.3050702290305959,5.52741666666662,6.571765719893562,2947.285,6.37,1.4434151312795385,0.0295,0.16921738214617135,0.07716666666666666,0.26687795499572337,0.5205,0.4996212100771209,0.37283333333333335,0.48359861127284726,6.634333333333333,2.695953619137716,347.0131666666667,263.51305568237,4.998,0.09485515053628586,0.15383333333333332,0.42840700389042546,1998.1683333333333,6.440929913600551,2936.7885,6448.116253472755,3.5458333333333334,7.721345036137219,28.050833333333333,43.77350343041837,47510.791333333334,34670.05252874824,11.643833333333333,3.912739478582746,30.944166666666668,4.230803618159347,2.0176963498860805
20,392.21816666666666,238.4193340869188,0.5746666666666667,0.5575033846469768,46.11783333333333,15.779938203739611,44.9805,16.105610353666947,0.2748333333333333,0.47819600318118816,0.05516666666666667,0.236923323037338,0.22566666666666665,0.4521525876839753,0.6615,0.6196626073580979,0.27516666666666667,0.4755568643994542,0.05683333333333333,0.24141185866303128,0.049666666666666665,0.21803932156039688,0.09083333333333334,0.30429931301412033,5.527449999999954,6.573897691069048,2967.5435,6.371,1.4452360076654254,0.029333333333333333,0.16875317822611755,0.07733333333333334,0.2671418780711705,0.5206666666666667,0.4996143425724548,0.37266666666666665,0.48355474673271154,6.628666666666667,2.6986401511378166,347.764,263.8670731183664,4.998,0.09485515053628586,0.15483333333333332,0.4299892874868287,1998.1818333333333,6.438919157659583,2929.621833333333,6436.203869145264,3.5483333333333333,7.72135137783995,28.1325,43.81436476974961,47469.95816666666,34641.66199565296,11.651333333333334,3.912669555780468,30.939333333333334,4.233435155728521,2.023671552585768
21,392.662,238.34935247441013,0.5798333333333333,0.5570861959581932,46.0885,15.759856067253411,44.952333333333335,16.084698136466397,0.2745,0.4776900473077417,0.05483333333333333,0.236296307376352,0.22683333333333333,0.4535940881688187,0.6606666666666666,0.6198792333454041,0.27516666666666667,0.47555686439945444,0.05683333333333333,0.24141185866303125,0.049666666666666665,0.21803932156039688,0.091,0.3045233254491855,5.512016666666619,6.567024559746756,3018.9395,6.376,1.4542958763891292,0.0295,0.16921738214617135,0.07766666666666666,0.2676686321523847,0.5201666666666667,0.4996347779869991,0.37266666666666665,0.4835547467327116,6.624666666666666,2.7000012141937995,348.66566666666665,263.4236338859982,4.998,0.09485515053628586,0.15466666666666667,0.43024304030921406,1998.1906666666666,6.43971204356909,2937.788666666667,6448.642916194252,3.551,7.718224806630784,28.214166666666667,43.855035932812385,47503.291666666664,34719.18083412879,11.660166666666667,3.9052812757251445,30.942333333333334,4.227882100224367,2.0397116988350636
22,398.40866666666665,241.55964446735416,0.6311666666666667,0.5497081062308067,46.0915,15.770211719555753,44.93866666666667,16.111647000965917,0.276,0.4783953842697701,0.05566666666666667,0.23785987144107354,0.22566666666666665,0.4521525876839748,0.6578333333333334,0.6203381675580033,0.27316666666666667,0.47460599170623735,0.05733333333333333,0.24163875331453843,0.051666666666666666,0.22212334115382965,0.08916666666666667,0.300939195888732,5.423416666666619,6.450831641310542,3306.304833333333,6.384,1.468640011682318,0.030333333333333334,0.17151712813330355,0.07983333333333334,0.2710575909134826,0.512,0.49989763913052043,0.37783333333333335,0.48488606012557867,6.596166666666667,2.6977085790509694,352.9941666666667,260.1882308097004,4.998,0.09485515053628586,0.1565,0.4332501597808832,1998.3181666666667,6.323311422831689,2937.9566666666665,6440.327926854605,3.5165,7.6759069610443085,27.774833333333333,43.63214901167081,47590.791333333334,35060.076275833024,11.7225,3.891617212773522,30.96216666666667,4.243159519274209,2.116108201064959
23,386.6897,238.10209170546602,0.5317,0.5559010816694337,46.1962,15.780748041866607,45.0641,16.120811990961407,0.2827,0.4853908429575114,0.0531,0.231269839308679,0.2216,0.44734041997690344,0.6645,0.6235211526987462,0.2719,0.4747556521969495,0.0545,0.23692902636938185,0.0508,0.22096208368010076,0.0921,0.3040178163912332,5.549359999999967,6.524312243863433,2688.2222,6.3612,1.4272134576948408,0.027,0.1620914166843398,0.0833,0.27634895851927405,0.5277,0.4992570838391543,0.362,0.4806028484203886,6.6793,2.679509187696416,339.6927,264.4256113864631,4.9983,0.08887012878341419,0.1504,0.42260821072243193,1997.9926,6.627136420333624,2910.3908,6299.443935766479,3.506,7.790701733691799,28.2011,43.84708331761203,47863.4598,34608.257528554794,11.6149,3.930234428665317,30.923,4.295546085379286,1.9390127992934043
24,387.4032,238.6921268557099,0.5367,0.5555933570497288,46.1781,15.772414440906944,45.0415,16.105909405611865,0.2821,0.48512176235707494,0.0534,0.2318486907048266,0.2218,0.44724127993316193,0.6648,0.6232814837460826,0.273,0.4752826415501879,0.0545,0.23692902636938185,0.0508,0.22096208368010076,0.0915,0.30288103884587325,5.535879999999968,6.514234271993461,2713.186,6.3642,1.4327468849605234,0.027,0.1620914166843398,0.0831,0.2760471159078104,0.5271,0.4992900149731669,0.3628,0.4808318624300939,6.6726,2.6832683863011257,340.1583,264.54606612689764,4.9983,0.08887012878341419,0.1515,0.42445938153916035,1998.0047,6.625954137844932,2904.0912,6280.947344217595,3.5184,7.807506462098875,28.1912,43.842267927257154,47840.96,34540.872216890486,11.6181,3.9314625815086157,30.9294,4.29619149551543,1.9464128579649316
25,388.3614,238.93184976667143,0.5419,0.5555855087434385,46.1328,15.762036935016738,44.9898,16.099770688479413,0.2813,0.4845552490469193,0.0538,0.23261765001198437,0.2219,0.44707983407646046,0.6638,0.6232241978935341,0.2735,0.47552114783275856,0.0543,0.23655254323419744,0.0512,0.22177348432089047,0.0917,0.30348034538010593,5.526629999999969,6.504352427655666,2739.18,6.3636,1.4316424134537873,0.027,0.1620914166843398,0.0828,0.275593459965068,0.5261,0.49934329310849596,0.3641,0.48120094080804066,6.6643,2.6848698967802145,340.925,264.34101458570984,4.9983,0.08887012878341419,0.1526,0.4260650104612305,1998.0269,6.620827737223822,2913.0912,6315.4246356135,3.5214,7.810457244248945,28.1915,43.84208526740026,47816.9602,34469.220037365376,11.6319,3.93585460670842,30.9251,4.297340654831949,1.9534775351207843
26,388.7809,238.97672247015652,0.5473,0.5558719361156327,46.1266,15.771298165483453,44.9834,16.106224433011924,0.2816,0.48469055333613775,0.054,0.23300092047652918,0.2223,0.4475519414258514,0.6629,0.6236204616976373,0.2728,0.47518705819290963,0.0539,0.23579726468939116,0.0511,0.22157098043276155,0.0919,0.30374926561495535,5.5216899999999685,6.52220794390571,2765.1459,6.3648,1.433850254613524,0.0273,0.16296430816768945,0.082,0.27437844002915984,0.526,0.499348510454862,0.3647,0.48137000499425675,6.6622,2.685295559379658,341.3461,264.06505249651195,4.9983,0.08887012878341419,0.1533,0.4268692208781799,1998.04,6.602647915491964,2901.0909,6263.8722375679245,3.5255,7.813863026413049,28.1522,43.82262289488725,47851.4606,34418.50783886772,11.64,3.937886577222542,30.9179,4.302209954319648,1.9618327334260812
27,389.2143,238.62714738071284,0.5525,0.5557649120480699,46.109,15.7567809724785,44.9582,16.097172567145595,0.2815,0.48423258680083275,0.0541,0.23319225515181968,0.2221,0.4474277697695272,0.663,0.6232734929264578,0.2728,0.4747659426180774,0.0539,0.23579726468939116,0.0512,0.22177348432089047,0.0922,0.30448059189888343,5.537459999999966,6.538453631095687,2791.335,6.3648,1.4338502546135214,0.0273,0.16296430816768945,0.0821,0.2745307391034222,0.525,0.49939957948920954,0.3656,0.48162208834686804,6.6575,2.6844951855869166,341.8576,263.78376923141565,4.9983,0.08887012878341419,0.1534,0.4267161218713063,1998.065,6.576648099908004,2903.4913,6267.580612660468,3.5171,7.783557410759822,28.1624,43.82726673168907,47838.9605,34353.19304673584,11.6399,3.928634801956125,30.9148,4.312377606386203,1.9701451633251985
